"object_id";"parent_object_id";"size";"structuredness";"hierarchicallity";"information_amount";"location_specification";"existence_from";"existence_to"
"3";"2";"742";"0.77346";"1";"0.632075";"/text/1/";"2019-03-01 00:00:00";NULL
"10";"2";"436";"0.534325";"1";"0.644495";"/text/13/";"2019-03-01 00:00:00";NULL
"17";"2";"1124";"0.534535";"1";"0.356762";"/text/41/";"2019-03-01 00:00:00";NULL
"24";"2";"2522";"0.53376";"1";"0.500396";"/text/46/";"2019-03-01 00:00:00";NULL
"31";"2";"817";"0.829913";"1";"0.602203";"/text/2/";"2019-03-01 00:00:00";NULL
"38";"2";"264";"0.665504";"1";"0.598485";"/text/43/";"2019-03-01 00:00:00";NULL
"45";"2";"83";"0.738424";"1";"0.879518";"/text/19/";"2019-03-01 00:00:00";NULL
"52";"2";"186";"0.74208";"1";"0.698925";"/text/75/";"2019-03-01 00:00:00";NULL
"59";"2";"125";"0.768448";"1";"0.68";"/text/21/";"2019-03-01 00:00:00";NULL
"66";"2";"136";"0.74827";"1";"0.698529";"/text/20/";"2019-03-01 00:00:00";NULL
"73";"2";"175";"0.6128";"1";"0.662857";"/text/24/";"2019-03-01 00:00:00";NULL
"80";"2";"199";"0.69425";"1";"0.658291";"/text/22/";"2019-03-01 00:00:00";NULL
"87";"2";"170";"0.733875";"1";"0.611765";"/text/23/";"2019-03-01 00:00:00";NULL
"94";"2";"146";"0.720351";"1";"0.753425";"/text/44/";"2019-03-01 00:00:00";NULL
"101";"2";"119";"0.719723";"1";"0.764706";"/text/18/";"2019-03-01 00:00:00";NULL
"108";"2";"35191";"0.0268576";"1";"0.494246";"/text/47/";"2019-03-01 00:00:00";NULL
"115";"2";"695";"0.754371";"1";"0.494964";"/text/52/";"2019-03-01 00:00:00";NULL
"122";"2";"388";"0.976332";"1";"0.662371";"/text/72/";"2019-03-01 00:00:00";NULL
"129";"2";"943";"0.7309";"1";"0.625663";"/text/73/";"2019-03-01 00:00:00";NULL
"136";"2";"202";"0.619645";"1";"0.752475";"/text/50/";"2019-03-01 00:00:00";NULL
"143";"2";"940";"0.713752";"1";"0.634043";"/text/8/";"2019-03-01 00:00:00";NULL
"150";"2";"537";"0.868634";"1";"0.700186";"/text/5/";"2019-03-01 00:00:00";NULL
"157";"2";"593";"0.636191";"1";"0.558179";"/text/61/";"2019-03-01 00:00:00";NULL
"164";"2";"339";"0.967195";"1";"0.690265";"/text/3/";"2019-03-01 00:00:00";NULL
"171";"2";"89";"0.842192";"1";"1";"/text/74/";"2019-03-01 00:00:00";NULL
"178";"2";"2222";"0.457339";"1";"0.538254";"/text/48/";"2019-03-01 00:00:00";NULL
"185";"2";"327";"0.64843";"1";"0.553517";"/text/67/";"2019-03-01 00:00:00";NULL
"192";"2";"1575";"0.521798";"1";"0.348571";"/text/40/";"2019-03-01 00:00:00";NULL
"199";"2";"1941";"0.512797";"1";"0.318908";"/text/34/";"2019-03-01 00:00:00";NULL
"206";"2";"1646";"0.54403";"1";"0.318955";"/text/26/";"2019-03-01 00:00:00";NULL
"213";"2";"1230";"0.534868";"1";"0.364228";"/text/28/";"2019-03-01 00:00:00";NULL
"220";"2";"1845";"0.518621";"1";"0.337127";"/text/80/";"2019-03-01 00:00:00";NULL
"227";"2";"1675";"0.529572";"1";"0.335522";"/text/64/";"2019-03-01 00:00:00";NULL
"234";"2";"1016";"0.579604";"1";"0.405512";"/text/66/";"2019-03-01 00:00:00";NULL
"241";"2";"1226";"0.570064";"1";"0.367863";"/text/65/";"2019-03-01 00:00:00";NULL
